collected_at,market,frr,bid,bid_period,bid_size,ask,ask_period,ask_size,daily_change,daily_change_perc,last_price,volume,high,low,first_trade,frr_amount_available
2026-08-19T00:47:03.045803+00:00,fUSD,0.0003203917808219178,0.0002808219178082192,120,42743092.64282498,0.000140605,2,11313923.26708699,-4.705e-05,-0.2586,0.00013488,140286835.4616425,0.00035,8e-05,1469734163000,342049808.3911169
2026-08-19T01:47:03.004157+00:00,fUSD,0.0003204191780821918,0.0002808219178082192,120,40704608.49813014,0.00014896981674987787,2,10210383.18384643,-6.642e-05,-0.3084,0.00014897,141987296.75383693,0.00035,8e-05,1469734163000,344355782.0631443
2026-08-19T02:47:03.185298+00:00,fUSD,0.00032035616438356166,0.0002808219178082192,120,40523572.46371266,0.0001402603,2,24090.43188487,-6e-05,-0.3011,0.00013924,147168543.82534075,0.00035,8e-05,1469734163000,344307707.0930797
2026-08-19T03:47:03.084630+00:00,fUSD,0.0003202301369863014,0.0002,60,30711720.41065874,0.0001401939,2,29823.70521212,-6.861e-05,-0.3289,0.00014,150319720.16787624,0.00035,8e-05,1469734163000,343897390.5260046
2026-08-19T04:47:02.692153+00:00,fUSD,0.000320213698630137,0.000185,120,30654292.63047825,0.00014198,2,6643789.58137526,-7.897e-05,-0.3607,0.00013994,152959178.09910876,0.00035,7.945e-05,1469734163000,344328124.60349363
2026-08-19T05:47:03.413281+00:00,fUSD,0.00032013698630136984,0.000185,120,28542653.68125795,0.00014784479456000002,2,25672.64723064,-6.844e-05,-0.3287,0.00013978,156058135.2903592,0.00035,7.945e-05,1469734163000,344319059.88783944
2026-08-19T06:38:38.223362+00:00,fUSD,0.00032018356164383564,0.000185,120,30454485.94279172,0.00014104,2,132564.90271938,-8.151e-05,-0.3724,0.00013737,167341030.46942452,0.00035,7.945e-05,1469734163000,342028204.23981744
2026-08-19T07:13:21.370550+00:00,fUSD,0.00031995616438356165,0.000185,120,30411455.29732269,0.00014698701353033842,2,53851.43757816,-3.124e-05,-0.1736,0.00014876,169468378.7318596,0.00035,7.945e-05,1469734163000,342061309.49156487
2026-08-19T07:47:03.690025+00:00,fUSD,0.0003199260273972603,0.000185,120,30408097.15732269,0.00014956,2,1706765.18507361,-6.079e-05,-0.2895,0.00014921,171099045.9880411,0.00035,7.945e-05,1469734163000,344085105.1216712
2026-08-19T08:47:03.775045+00:00,fUSD,0.0003198767123287671,0.000185,120,30388927.74906917,0.0001449,2,1551453.87557302,-6.961e-05,-0.3184,0.000149,173632730.55421856,0.00035,7.945e-05,1469734163000,342672137.3925874
2026-08-19T09:47:03.451593+00:00,fUSD,0.00031986575342465753,0.000185,120,30368332.73047409,0.0001821561643835616,2,64496.00507363,-3.335e-05,-0.154,0.00018314,175238264.95719537,0.00035,7.945e-05,1469734163000,351043365.39259416
2026-08-19T10:47:03.656591+00:00,fUSD,0.0003195479452054795,0.0002808219178082192,120,41079994.20242574,0.00014796,2,27199.05120787,9e-05,0.4737,0.00028,165968935.18276942,0.00035,7.945e-05,1469734163000,346677162.94444424
2026-08-19T11:47:02.603566+00:00,fUSD,0.0003194219178082192,0.0002808219178082192,120,38307963.15732447,0.00014898,2,580158.20446267,-8.1e-06,-0.054,0.0001419,166805869.55823788,0.00035,7.945e-05,1469734163000,326792209.7429473
2026-08-19T12:47:03.301334+00:00,fUSD,0.0003184904109589041,0.0002808219178082192,120,40234135.83810548,0.000147548633,2,2807532.3688904,0.000181,1.2148,0.00033,189685435.3548886,0.00035,7.945e-05,1469734163000,344257762.32692504
2026-08-19T13:47:04.564238+00:00,fUSD,0.0003184082191780822,0.000185,120,30336787.32736187,0.00014147,2,2260813.93200976,-0.00018131,-0.5641,0.00014012,191837567.46679267,0.00035,7.945e-05,1469734163000,329490505.8853135
2026-08-19T14:47:04.235739+00:00,fUSD,0.00031786301369863016,0.000185,120,30302263.56950784,0.00014198,2,55739.70571033,-1e-06,-0.0067,0.000149,146937928.33887976,0.00035,7.945e-05,1469734163000,301864942.551097
2026-08-19T15:47:03.115704+00:00,fUSD,0.0003175698630136986,0.000185,120,30284117.89849894,0.00014898,2,53763.51734625,2.288e-05,0.1525,0.00017287,157494046.96095607,0.00035,7.945e-05,1469734163000,307724571.2392532
2026-08-19T16:47:03.352065+00:00,fUSD,0.00031511232876712327,0.0002808219178082192,120,39637142.98655679,0.00019247397260273966,2,33358.14495147,6.255e-05,0.2877,0.00028,167011055.12372616,0.00035,7.945e-05,1469734163000,304600357.4701984
2026-08-19T17:47:04.016012+00:00,fUSD,0.00031511232876712327,0.0002808219178082192,120,41021293.1587684,0.00014994000000000002,2,17501.69993039,7.114e-05,0.3406,0.00028,167460857.29043087,0.00035,7.945e-05,1469734163000,304630412.8989492
2026-08-19T18:47:03.643432+00:00,fUSD,0.0003151643835616438,0.0002808219178082192,120,42940518.65410217,0.00014199,2,208019.62299218,3e-05,0.12,0.00028,166064470.4344659,0.00035,7.945e-05,1469734163000,304675272.3910441
2026-08-19T19:47:04.202125+00:00,fUSD,0.00031517260273972603,0.0002808219178082192,120,44888706.58964563,0.00014999,2,55234.56554086,9e-06,0.0332,0.00028,167797892.37740967,0.00035,7.945e-05,1469734163000,304685820.5356731
2026-08-19T20:47:03.092987+00:00,fUSD,0.00031515616438356164,0.0002808219178082192,120,44872331.39497017,0.00014999,2,14359.18205857,-5.178e-05,-0.1557,0.00028072,164943417.71120456,0.00035,7.945e-05,1469734163000,304707128.6810408
