collected_at,market,bid,ask,daily_change,daily_change_perc,last_price,volume,high,low,first_trade
2026-08-18T00:47:02.552099+00:00,tBTCUSD,64392,64398,1192,0.01886076,64392,560.62241488,64646,62904,1358182043000
2026-08-18T01:47:02.202397+00:00,tBTCUSD,64279,64283,1118,0.01769883,64286,505.53142093,64646,63058,1358182043000
2026-08-18T02:47:02.838750+00:00,tBTCUSD,64143,64149,674,0.01061936,64143,499.78439058,64646,63312,1358182043000
2026-08-18T03:47:03.093711+00:00,tBTCUSD,64166,64178,628,0.00988121,64183,512.23124559,64646,63312,1358182043000
2026-08-18T04:47:02.841664+00:00,tBTCUSD,64220,64223,647,0.01017632,64226,491.44400061,64646,63312,1358182043000
2026-08-18T05:47:04.251619+00:00,tBTCUSD,64246,64255,593,0.00931658,64243,489.01781553,64646,63312,1358182043000
2026-08-18T06:47:02.970336+00:00,tBTCUSD,64411,64415,699,0.0109709,64413,440.46964306,64646,63312,1358182043000
2026-08-18T07:47:02.776119+00:00,tBTCUSD,64264,64268,694,0.01091641,64268,431.65789311,64646,63312,1358182043000
2026-08-18T08:47:02.350015+00:00,tBTCUSD,64294,64299,845,0.01331673,64299,432.1449762,64646,63312,1358182043000
2026-08-18T09:47:02.096006+00:00,tBTCUSD,64171,64175,809,0.0127671,64175,381.66740943,64646,63312,1358182043000
2026-08-18T10:47:03.387695+00:00,tBTCUSD,64198,64201,476,0.00746913,64205,367.45395637,64646,63459,1358182043000
2026-08-18T11:47:02.768628+00:00,tBTCUSD,64408,64410,697,0.01093968,64410,355.62993762,64646,63459,1358182043000
2026-08-18T12:47:11.986046+00:00,tBTCUSD,64250,64253,650,0.01022013,64250,352.44340803,64646,63459,1358182043000
2026-08-18T13:47:15.685620+00:00,tBTCUSD,64202,64206,462,0.00724649,64217,349.17374668,64646,63601,1358182043000
2026-08-18T14:47:12.255055+00:00,tBTCUSD,64812,64818,779,0.01216617,64809,373.60885364,65080,63838,1358182043000
2026-08-18T14:52:41.835831+00:00,tBTCUSD,64774,64783,743,0.01160394,64773,375.52612131,65080,63838,1358182043000
2026-08-18T15:47:09.931733+00:00,tBTCUSD,64893,64896,661,0.01029082,64893,331.38977379,65080,63990,1358182043000
2026-08-18T16:47:19.090076+00:00,tBTCUSD,64845,64848,709,0.0110536,64851,331.57049856,65080,63990,1358182043000
2026-08-18T17:47:08.753214+00:00,tBTCUSD,64747,64750,335,0.00520041,64753,290.40944355,65080,64040,1358182043000
2026-08-18T18:47:11.465375+00:00,tBTCUSD,64825,64829,373,0.00578743,64823,268.81107552,65080,64040,1358182043000
2026-08-18T19:47:08.384198+00:00,tBTCUSD,64721,64724,386,0.00599966,64723,262.78636271,65080,64040,1358182043000
2026-08-18T20:47:03.004458+00:00,tBTCUSD,64650,64653,189,0.00293191,64652,266.64301249,65080,64040,1358182043000
2026-08-18T21:47:03.047659+00:00,tBTCUSD,64655,64657,217,0.00336726,64661,272.61042334,65080,64040,1358182043000
2026-08-18T22:47:03.128929+00:00,tBTCUSD,64677,64682,271,0.00420768,64677,275.10700446,65080,64040,1358182043000
2026-08-18T23:47:03.166356+00:00,tBTCUSD,64835,64838,240,0.0037154,64836,272.4195023,65080,64040,1358182043000
