collected_at,market,frr,bid,bid_period,bid_size,ask,ask_period,ask_size,daily_change,daily_change_perc,last_price,volume,high,low,first_trade,frr_amount_available
2026-08-28T00:47:03.561565+00:00,fUST,0.00023509041095890411,0.0002671232876712329,120,15256133.9450028,0.00014999,2,350414.14081038,5.39e-05,0.4896,0.000164,37451438.24428472,0.00021502,7.6e-05,1545390496657,54966803.61990027
2026-08-28T01:47:03.279036+00:00,fUST,0.00023534246575342466,0.0002671232876712329,120,15237429.04162781,0.00015999000000000002,2,344516.63163288,7.444e-05,0.4626,0.00023534,36688023.43963662,0.00021502,7.6e-05,1545390496657,55655874.60669328
2026-08-28T02:47:03.439391+00:00,fUST,0.00023524931506849314,0.0002671232876712329,120,15232861.72529237,0.00016933698632,2,1316194.20637723,9.98e-06,0.0624,0.00016998,36971566.50718488,0.00021502,7.6e-05,1545390496657,55901752.667355
2026-08-28T03:47:04.155792+00:00,fUST,0.00023555068493150686,0.0002671232876712329,120,15184305.86205682,0.00013196,7,21401.42212004,7.584e-05,0.4749,0.00023555,39312826.28019626,0.00021502,7.6e-05,1545390496657,55921862.48769076
2026-08-28T04:47:03.900171+00:00,fUST,0.00023579178082191782,0.0002671232876712329,120,15181415.6909534,0.00015137,2,268970.24482751,-5.971e-05,-0.3739,0.0001,39258378.08106779,0.00021502,7.6e-05,1545390496657,55937253.99022998
2026-08-28T05:47:04.211118+00:00,fUST,0.0002358849315068493,0.0002671232876712329,120,15161463.01438982,0.0001408008,7,221591.85211456,0.0001081,0.6799,0.0002671,39253249.65094388,0.00021502,7.6e-05,1545390496657,55885179.8180836
2026-08-28T06:47:03.888966+00:00,fUST,0.0002358958904109589,0.0002671232876712329,120,15161162.38904139,0.00011681999999999998,2,274562.78631964,-4.001e-05,-0.2532,0.00011799,39110327.8588956,0.00021502,7.6e-05,1545390496657,55939898.7982683
2026-08-28T07:47:03.978202+00:00,fUST,0.00023628493150684932,0.000247980821,120,12424673.63556055,0.0001134852,7,216443.31990991,-4.451e-05,-0.2817,0.00011349,39235050.39730633,0.00021502,5e-06,1545390496657,55926950.3179181
2026-08-28T08:47:04.116003+00:00,fUST,0.00023615342465753425,0.000247980821,120,12232315.88353374,0.00014849999999999998,2,24883.88708164,3.31e-05,0.1541,0.00024795,38382677.38450666,0.00021502,5e-06,1545390496657,55878491.31040481
2026-08-28T09:47:04.034268+00:00,fUST,0.0002363972602739726,0.000247980821,120,5765269.91408154,0.00015068493150684933,2,32791.06209111,-6.371e-05,-0.2972,0.00015068,35793126.19372233,0.00021502,5e-06,1545390496657,55877243.83004084
2026-08-28T10:47:05.268138+00:00,fUST,0.00023651506849315068,0.000247980821,120,5771041.82154032,0.000156086,2,307872.74969335,-1.363e-05,-0.0723,0.000175,34073860.51980294,0.0002106,5e-06,1545390496657,55869145.27331963
2026-08-28T11:47:04.565140+00:00,fUST,0.00023671780821917808,0.0002671232876712329,120,9544042.51803781,0.0001439476128198501,14,41768.86692178,3.278e-05,0.17,0.00022555,34359277.1334324,0.0002106,5e-06,1545390496657,59874428.39306062
2026-08-28T12:47:04.253424+00:00,fUST,0.0002358,0.0002671232876712329,120,11321071.75579178,0.0001348032,7,338030.21268635,-5.784e-05,-0.3044,0.00013216,38371908.69079005,0.0002106,5e-06,1545390496657,59890275.64049203
2026-08-28T13:47:04.791205+00:00,fUST,0.00023594246575342465,0.0002671232876712329,120,11016830.3736815,0.00011332,2,22111.64160558,-8.799e-05,-0.4444,0.00011,35235465.58979235,0.0002106,5e-06,1545390496657,60039796.98987663
2026-08-28T14:47:03.883899+00:00,fUST,0.00023633698630136986,0.0002671232876712329,120,11002406.06051912,0.00011453274611999999,7,52610.71830459,-8.546e-05,-0.4273,0.00011453,36625158.45930814,0.00021895,5e-06,1545390496657,60535314.83618609
2026-08-28T15:47:03.747738+00:00,fUST,0.0002364109589041096,0.0002671232876712329,120,10799144.65637573,0.0001433602,2,49748.05371736,0.00010274,0.625,0.00026712,34178667.70039451,0.00021895,5e-06,1545390496657,60527364.60667601
2026-08-28T16:47:03.103955+00:00,fUST,0.00023607945205479452,0.0002671232876712329,120,10771485.76945012,0.0001644642705479452,2,17198.7546821,3.592e-05,0.1796,0.00023591,37895059.7841951,0.00021933,5e-06,1545390496657,60525600.05385076
2026-08-28T17:47:03.550218+00:00,fUST,0.00023704109589041096,0.0002671232876712329,120,14703097.73274616,0.00011815,2,386505.23709955,6.715e-05,0.3358,0.00026712,37074582.87913544,0.00021933,5e-06,1545390496657,60524023.07538134
2026-08-28T18:47:03.066589+00:00,fUST,0.00023732602739726027,0.0002671232876712329,120,14618009.66871714,0.00011384999999999999,2,30933.24579087,6.701e-05,0.3351,0.000267,36143645.13464247,0.00022,5e-06,1545390496657,60523709.70506102
2026-08-28T19:47:03.246963+00:00,fUST,0.00023702191780821917,0.0002671232876712329,120,14595779.04935955,0.00014561682226525818,7,423428.99654634,9.51e-06,0.0593,0.00017,33782710.26693369,0.00022,5e-06,1545390496657,60524413.44252354
2026-08-28T20:47:03.406382+00:00,fUST,0.0002368767123287671,0.0002671232876712329,120,14466901.05075017,0.00015871,2,359743.54529398,-4.237e-05,-0.2779,0.0001101,34386934.72589744,0.00022,5e-06,1545390496657,60523710.04064772
2026-08-28T21:47:03.191542+00:00,fUST,0.0002369205479452055,0.0002671232876712329,120,10100088.55701825,0.000180088,2,396085.89812265,-3.899e-05,-0.202,0.000154,33745291.16686009,0.00022,5e-06,1545390496657,60523710.04064772
2026-08-28T22:47:03.112184+00:00,fUST,0.00023682465753424657,0.0002671232876712329,120,14451076.74492254,0.00013670122602739724,14,57496.85964276,-1.764e-05,-0.098,0.00016236,36190439.15422037,0.00022595,5e-06,1545390496657,60523967.44529869
2026-08-28T23:47:03.311482+00:00,fUST,0.0002368,0.0002671232876712329,120,14445292.61414478,0.00014687430011443741,2,215221.62614302,-1.276e-05,-0.0709,0.00016722,35341725.89145757,0.00022595,5e-06,1545390496657,60524373.39809534
