collected_at,market,frr,bid,bid_period,bid_size,ask,ask_period,ask_size,daily_change,daily_change_perc,last_price,volume,high,low,first_trade,frr_amount_available
2026-09-06T00:47:03.388078+00:00,fETH,5.6e-05,5.71e-06,2,591.48207604,6e-06,2,412.75306971,0,0,2e-07,622.19676702,2.998e-05,2e-07,1469734162000,4399.17343592
2026-09-06T01:47:03.650887+00:00,fETH,5.5986301369863014e-05,5.7e-06,2,589.82416418,1e-05,2,518.37131451,2.64e-06,0.0264,2.84e-06,625.38209566,2.998e-05,2e-07,1469734162000,4399.32752592
2026-09-06T02:47:03.306498+00:00,fETH,5.594794520547945e-05,5.7e-06,2,589.06025538,6e-06,2,429.34258519,0,0,2e-07,636.39260888,2.998e-05,2e-07,1469734162000,4399.72154174
2026-09-06T03:47:03.821450+00:00,fETH,5.5956164383561644e-05,5.7e-06,2,588.17181412,2.998e-05,2,373.15930789,2.978e-05,0.2978,2.998e-05,642.99160266,2.998e-05,2e-07,1469734162000,4399.95370124
2026-09-06T04:47:03.763687+00:00,fETH,5.598082191780822e-05,5.7e-06,2,579.41739255,1.3e-05,2,404.60881525,-2.478e-05,-0.2478,2e-07,652.5190288,2.998e-05,2e-07,1469734162000,4399.72154174
2026-09-06T05:47:03.793978+00:00,fETH,5.5956164383561644e-05,5.7e-06,2,577.17951639,2.998e-05,2,386.14176549,0,0,2e-07,618.06114846,2.998e-05,2e-07,1469734162000,4399.32752592
2026-09-06T06:47:03.583513+00:00,fETH,5.594246575342466e-05,5.7e-06,2,577.17951639,2.998e-05,2,408.64124616,2.957e-05,0.2957,2.977e-05,624.46425133,2.998e-05,2e-07,1469734162000,4399.32752592
2026-09-06T07:47:03.222477+00:00,fETH,5.598082191780822e-05,5.7e-06,2,572.9169667,1e-05,2,354.91635459,2.64e-06,0.0264,2.84e-06,623.0131792,2.998e-05,2e-07,1469734162000,4410.67289483
2026-09-06T08:47:05.119700+00:00,fETH,5.596438356164383e-05,5.7e-06,2,572.11343276,2.998e-05,2,416.69807088,2.98e-05,0.298,3e-05,548.36986719,3e-05,2e-07,1469734162000,4410.67289483
2026-09-06T09:47:03.656950+00:00,fETH,5.5953424657534246e-05,5.7e-06,2,571.48266445,1.3e-05,2,379.51295759,2.398e-05,0.2398,2.998e-05,491.04010514,3e-05,2e-07,1469734162000,4410.67289483
2026-09-06T10:47:03.874088+00:00,fETH,5.596712328767123e-05,5.7e-06,2,571.48266445,2.998e-05,2,402.43257492,0,0,2e-07,453.93191989,3e-05,2e-07,1469734162000,4410.67289483
2026-09-06T11:47:04.526664+00:00,fETH,5.602739726027397e-05,5.7e-06,2,567.50621418,1e-05,2,368.885116,2.783e-05,0.2783,2.803e-05,381.08547809,3e-05,2e-07,1469734162000,4410.88471749
2026-09-06T12:47:03.895729+00:00,fETH,5.6202739726027396e-05,5.7e-06,2,564.23818182,1e-05,2,313.23445839,1.18e-05,0.118,1.2e-05,511.74768667,3e-05,2e-07,1469734162000,4412.58868271
2026-09-06T13:47:04.277544+00:00,fETH,5.668219178082192e-05,5.7e-06,2,563.88331889,1e-05,2,340.39375201,-3e-07,-0.003,5.7e-06,610.44261584,3e-05,2e-07,1469734162000,4377.93602802
2026-09-06T14:47:03.917089+00:00,fETH,5.6783561643835614e-05,5.7e-06,2,563.88331889,1e-05,2,4871.49806013,-1.627e-05,-0.1627,1.2e-05,1353.0891289200001,5.678e-05,2e-07,1469734162000,4823.24399698
2026-09-06T15:47:04.316682+00:00,fETH,5.72e-05,5.7e-06,2,561.02269317,1e-05,2,4854.98144281,5.8e-06,0.058,6e-06,1512.49230523,5.718e-05,2e-07,1469734162000,4811.04500607
2026-09-06T16:47:03.675609+00:00,fETH,5.7161643835616437e-05,5.7e-06,2,558.90144287,1.3e-05,2,2683.37144429,-2.834e-05,-0.2834,2e-07,1573.7686216900001,5.718e-05,2e-07,1469734162000,4838.54853275
2026-09-06T17:47:03.860208+00:00,fETH,5.7156164383561646e-05,5.7e-06,2,558.90144287,2.998e-05,2,179.1715794,2.978e-05,0.2978,2.998e-05,1578.19493237,5.718e-05,2e-07,1469734162000,4834.12780076
2026-09-06T18:47:03.963955+00:00,fETH,5.709315068493151e-05,5.7e-06,2,554.7979,3e-05,2,787.93830948,2.955e-05,0.2955,2.998e-05,1579.0630079,5.718e-05,2e-07,1469734162000,4145.85685834
2026-09-06T19:47:03.902903+00:00,fETH,5.710958904109589e-05,5.7e-06,2,554.7979,2.5e-05,2,837.43475323,2.98e-05,0.298,3e-05,1589.00566636,5.718e-05,2e-07,1469734162000,4176.91573825
2026-09-06T20:47:03.450739+00:00,fETH,5.7112328767123285e-05,5.7e-06,2,553.04528906,1e-05,2,3033.4817437,2.978e-05,0.2978,2.998e-05,1587.3529953500001,5.718e-05,2e-07,1469734162000,4176.91573825
2026-09-06T21:47:03.773018+00:00,fETH,5.718356164383562e-05,5.7e-06,2,553.04528906,1e-05,2,2505.53905404,2.978e-05,0.2978,2.998e-05,1605.39443931,5.718e-05,2e-07,1469734162000,4145.98762274
2026-09-06T22:47:03.528808+00:00,fETH,5.715890410958904e-05,5.7e-06,2,544.79366388,1e-05,2,682.41593613,1.18e-05,0.118,1.2e-05,1616.3708454300001,5.718e-05,2e-07,1469734162000,4213.10188375
2026-09-06T23:47:03.473398+00:00,fETH,5.72027397260274e-05,5.7e-06,2,544.15329456,1.2e-05,2,3030.6040344,2.98e-05,0.298,3e-05,1655.41123106,5.718e-05,2e-07,1469734162000,4253.95612681
