collected_at,market,mts,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,payload_json
2026-09-14T00:47:03.298704+00:00,fBTC,1789344300000,0,48.14,885.67860182,885.0356728,2468.261614,"[1789344300000, null, null, 0, 48.14, null, null, 885.67860182, 885.0356728, null, null, 2468.261614, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T01:47:03.032718+00:00,fBTC,1789347900000,0,47.87,889.36046596,888.7525441,2411.42811735,"[1789347900000, null, null, 0, 47.87, null, null, 889.36046596, 888.7525441, null, null, 2411.42811735, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T02:47:03.322617+00:00,fBTC,1789351500000,0,47.86,889.16930703,888.56138517,2464.16460661,"[1789351500000, null, null, 0, 47.86, null, null, 889.16930703, 888.56138517, null, null, 2464.16460661, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T03:47:03.153837+00:00,fBTC,1789355100000,0,47.91,882.1573762,881.54945434,2445.44563433,"[1789355100000, null, null, 0, 47.91, null, null, 882.1573762, 881.54945434, null, null, 2445.44563433, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T04:47:03.912716+00:00,fBTC,1789358700000,0,47.89,882.06198826,881.4540664,2465.04863348,"[1789358700000, null, null, 0, 47.89, null, null, 882.06198826, 881.4540664, null, null, 2465.04863348, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T05:47:03.431680+00:00,fBTC,1789362300000,0,47.78,886.70759861,886.09967675,2446.43702355,"[1789362300000, null, null, 0, 47.78, null, null, 886.70759861, 886.09967675, null, null, 2446.43702355, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T06:47:02.960846+00:00,fBTC,1789365900000,0,47.38,889.39882811,888.79090625,2430.30854321,"[1789365900000, null, null, 0, 47.38, null, null, 889.39882811, 888.79090625, null, null, 2430.30854321, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T07:47:03.170734+00:00,fBTC,1789369500000,0,46.64,888.24488612,887.30345768,2441.60501111,"[1789369500000, null, null, 0, 46.64, null, null, 888.24488612, 887.30345768, null, null, 2441.60501111, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T08:47:02.848782+00:00,fBTC,1789373100000,0,46.4,888.56743688,888.03330348,2443.15791296,"[1789373100000, null, null, 0, 46.4, null, null, 888.56743688, 888.03330348, null, null, 2443.15791296, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T09:47:03.060860+00:00,fBTC,1789376700000,0,47.56,818.02884549,817.49471209,2504.41705387,"[1789376700000, null, null, 0, 47.56, null, null, 818.02884549, 817.49471209, null, null, 2504.41705387, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T10:47:03.155983+00:00,fBTC,1789380300000,0,47.21,821.17565424,820.64632084,2477.43084006,"[1789380300000, null, null, 0, 47.21, null, null, 821.17565424, 820.64632084, null, null, 2477.43084006, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T11:47:02.931072+00:00,fBTC,1789383900000,0,47.08,820.80360203,820.27426863,2511.36491191,"[1789383900000, null, null, 0, 47.08, null, null, 820.80360203, 820.27426863, null, null, 2511.36491191, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T12:47:03.041230+00:00,fBTC,1789387500000,0,47.14,821.80368559,821.27435219,2514.57753254,"[1789387500000, null, null, 0, 47.14, null, null, 821.80368559, 821.27435219, null, null, 2514.57753254, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T13:47:03.659266+00:00,fBTC,1789391100000,0,46.73,822.60878858,822.07945518,2513.37104326,"[1789391100000, null, null, 0, 46.73, null, null, 822.60878858, 822.07945518, null, null, 2513.37104326, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T14:47:03.613992+00:00,fBTC,1789394700000,0,46.66,822.28872576,821.75939236,2476.28617832,"[1789394700000, null, null, 0, 46.66, null, null, 822.28872576, 821.75939236, null, null, 2476.28617832, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T15:47:03.715051+00:00,fBTC,1789398300000,0,45.99,823.22840895,822.69907555,2512.89632305,"[1789398300000, null, null, 0, 45.99, null, null, 823.22840895, 822.69907555, null, null, 2512.89632305, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T16:47:04.007487+00:00,fBTC,1789401900000,0,45.63,830.14353785,829.61420445,2525.90449592,"[1789401900000, null, null, 0, 45.63, null, null, 830.14353785, 829.61420445, null, null, 2525.90449592, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T17:47:02.663637+00:00,fBTC,1789405500000,0,45.65,824.86053685,824.33120345,2523.38235355,"[1789405500000, null, null, 0, 45.65, null, null, 824.86053685, 824.33120345, null, null, 2523.38235355, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T18:47:03.405781+00:00,fBTC,1789409100000,0,45.39,824.77504279,824.24570939,2509.29004041,"[1789409100000, null, null, 0, 45.39, null, null, 824.77504279, 824.24570939, null, null, 2509.29004041, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T19:47:03.460616+00:00,fBTC,1789412700000,0,45.94,821.9916667,821.4671333,2511.96262973,"[1789412700000, null, null, 0, 45.94, null, null, 821.9916667, 821.4671333, null, null, 2511.96262973, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T20:47:04.028342+00:00,fBTC,1789416300000,0,46.24,820.20052729,819.67599389,2510.07664719,"[1789416300000, null, null, 0, 46.24, null, null, 820.20052729, 819.67599389, null, null, 2510.07664719, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T21:47:03.213709+00:00,fBTC,1789419900000,0,45.94,818.56807075,818.04353735,2509.28615851,"[1789419900000, null, null, 0, 45.94, null, null, 818.56807075, 818.04353735, null, null, 2509.28615851, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T22:47:03.790607+00:00,fBTC,1789423500000,0,45.78,819.29147922,818.75694582,2499.76439315,"[1789423500000, null, null, 0, 45.78, null, null, 819.29147922, 818.75694582, null, null, 2499.76439315, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T23:47:03.533357+00:00,fBTC,1789427100000,0,46.01,817.08187324,816.53678771,2533.30097426,"[1789427100000, null, null, 0, 46.01, null, null, 817.08187324, 816.53678771, null, null, 2533.30097426, null, null, null, null, null, null, null, null, null, null, null, null]"
