collected_at,market,bid,ask,daily_change,daily_change_perc,last_price,volume,high,low,first_trade
2026-09-11T00:47:03.636362+00:00,tBTCUSD,76858,76868,-1766,-0.02246162,76857,3361.57705348,78639,76542,1358182043000
2026-09-11T01:47:03.380595+00:00,tBTCUSD,76894,76912,-1298,-0.01659868,76901,3321.18617424,78639,76542,1358182043000
2026-09-11T02:47:04.049176+00:00,tBTCUSD,76945,76965,-1683,-0.02140159,76956,3314.64262014,78639,76542,1358182043000
2026-09-11T03:47:03.453377+00:00,tBTCUSD,76902,76922,-1590,-0.02025555,76907,3310.98383597,78624,76542,1358182043000
2026-09-11T04:47:03.596381+00:00,tBTCUSD,77150,77165,-1404,-0.01787033,77162,3310.74989773,78624,76542,1358182043000
2026-09-11T05:47:04.540298+00:00,tBTCUSD,77233,77243,-1370,-0.01742825,77238,3309.11722482,78624,76542,1358182043000
2026-09-11T06:47:04.943288+00:00,tBTCUSD,77300,77311,-1213,-0.01544967,77300,3315.26986097,78513,76542,1358182043000
2026-09-11T07:47:03.837706+00:00,tBTCUSD,77319,77340,-948,-0.01211223,77320,3337.27838696,78330,76542,1358182043000
2026-09-11T08:47:04.973020+00:00,tBTCUSD,77496,77516,-819,-0.01045857,77490,3343.59742851,78330,76542,1358182043000
2026-09-11T09:47:03.655485+00:00,tBTCUSD,77088,77104,-1026,-0.01313179,77105,3384.92333902,78150,76542,1358182043000
2026-09-11T10:47:03.069973+00:00,tBTCUSD,77120,77132,-889,-0.01139481,77129,3355.87633701,78150,76542,1358182043000
2026-09-11T11:47:02.960240+00:00,tBTCUSD,77067,77080,-906,-0.01161747,77080,3321.23248013,78048,76542,1358182043000
2026-09-11T12:47:03.326512+00:00,tBTCUSD,77843,77890,344,0.00443877,77843,2769.90914193,77891,76043,1358182043000
2026-09-11T13:47:02.967724+00:00,tBTCUSD,77937,77960,423,0.00545483,77969,1286.37704353,78233,76043,1358182043000
2026-09-11T14:47:03.087223+00:00,tBTCUSD,78753,78760,1168,0.01505737,78738,1467.25603331,79948,76043,1358182043000
2026-09-11T15:47:02.877742+00:00,tBTCUSD,78423,78463,991,0.01279568,78439,1600.1146486,79948,76043,1358182043000
2026-09-11T16:47:02.558222+00:00,tBTCUSD,77752,77770,406,0.00524928,77750,1472.16494038,79948,76043,1358182043000
2026-09-11T17:47:03.375649+00:00,tBTCUSD,77565,77576,141,0.00182102,77570,1545.05918384,79948,76043,1358182043000
2026-09-11T18:47:03.854023+00:00,tBTCUSD,77043,77061,-285,-0.00368484,77059,1578.87820307,79948,76043,1358182043000
2026-09-11T19:47:03.074005+00:00,tBTCUSD,77221,77232,-184,-0.00237668,77235,1596.75403154,79948,76043,1358182043000
2026-09-11T20:47:03.409353+00:00,tBTCUSD,77343,77353,-67,-0.00086564,77332,1594.75434228,79948,76043,1358182043000
2026-09-11T21:47:02.836472+00:00,tBTCUSD,77278,77290,-5,-6.469e-05,77282,1610.37020013,79948,76043,1358182043000
2026-09-11T22:47:02.733115+00:00,tBTCUSD,77061,77071,86,0.00111709,77072,1618.02105098,79948,76043,1358182043000
2026-09-11T23:47:02.965904+00:00,tBTCUSD,77167,77179,241,0.00313239,77179,1615.98995386,79948,76043,1358182043000
