collected_at,market,bid,ask,daily_change,daily_change_perc,last_price,volume,high,low,first_trade
2026-08-23T00:47:03.850811+00:00,tETHUSD,2429.2,2429.6,-100.6,-0.03976442,2429.3,27703.60723238,2531.3,2385.9,1457539475000
2026-08-23T01:47:04.422260+00:00,tETHUSD,2431.1,2431.6,-82.2,-0.0327021,2431.4,28444.90135583,2531.3,2385.9,1457539475000
2026-08-23T02:47:05.010115+00:00,tETHUSD,2422.2,2422.5,-100.2,-0.03972565,2422.1,30880.06399564,2531.3,2385.9,1457539475000
2026-08-23T03:47:03.807988+00:00,tETHUSD,2415.2,2415.4,-106.7,-0.04230937,2415.2,33478.1321653,2531.3,2385.9,1457539475000
2026-08-23T04:47:03.393744+00:00,tETHUSD,2397,2397.7,-122.1,-0.04845238,2397.9,45362.4735256,2520,2385.9,1457539475000
2026-08-23T05:47:03.199191+00:00,tETHUSD,2377.2,2377.5,-67.8,-0.02772893,2377.3,59197.74155609,2449,2355.3,1457539475000
2026-08-23T06:47:03.105705+00:00,tETHUSD,2393.8,2394.1,-55.8,-0.02278481,2393.2,63907.37325014,2449,2355.3,1457539475000
2026-08-23T07:47:02.896886+00:00,tETHUSD,2390.2,2390.4,-52.9,-0.02165548,2389.9,66101.33987529,2446.9,2355.3,1457539475000
2026-08-23T08:47:03.370416+00:00,tETHUSD,2418.7,2419,-10.7,-0.0044042,2418.8,66689.52340382,2446.9,2355.3,1457539475000
2026-08-23T09:47:03.679264+00:00,tETHUSD,2411.1,2411.6,-13,-0.00536215,2411.4,66827.8038281,2446.9,2355.3,1457539475000
2026-08-23T10:47:03.526481+00:00,tETHUSD,2417,2417.4,0.3,0.00012413,2417.2,66556.3073888,2446.9,2355.3,1457539475000
2026-08-23T11:47:04.080613+00:00,tETHUSD,2431,2431.8,-5.5,-0.00225734,2431,66720.80347236,2446.9,2355.3,1457539475000
2026-08-23T12:47:03.430701+00:00,tETHUSD,2427.9,2428,-2.5,-0.00102864,2427.9,67047.2021061,2446.9,2355.3,1457539475000
2026-08-23T13:47:03.841236+00:00,tETHUSD,2455.6,2455.9,23,0.00945296,2456.1,67386.99812427,2484,2355.3,1457539475000
2026-08-23T14:47:08.308254+00:00,tETHUSD,2429.9,2430.9,11.9,0.00492122,2430,67761.15096547,2484,2355.3,1457539475000
2026-08-23T15:47:02.855959+00:00,tETHUSD,2447.1,2447.5,29,0.01198991,2447.7,64715.69289071,2484,2355.3,1457539475000
2026-08-23T16:47:03.679429+00:00,tETHUSD,2447.7,2448,19.9,0.00819605,2447.9,61567.35726251,2484,2355.3,1457539475000
2026-08-23T17:47:03.095218+00:00,tETHUSD,2445.6,2446,12.1,0.00497267,2445.4,61002.1281166,2484,2355.3,1457539475000
2026-08-23T18:47:03.197156+00:00,tETHUSD,2446.6,2447.1,14.8,0.00608503,2447,60966.15741541,2484,2355.3,1457539475000
2026-08-23T19:47:04.019828+00:00,tETHUSD,2451.6,2451.9,5.7,0.00233014,2451.9,60975.5224841,2484,2355.3,1457539475000
2026-08-23T20:47:03.325523+00:00,tETHUSD,2449.2,2449.6,15.5,0.00636838,2449.4,60818.44703355,2484,2355.3,1457539475000
2026-08-23T21:47:02.905356+00:00,tETHUSD,2467.5,2467.9,43.8,0.01807005,2467.7,57658.04220103,2485.4,2355.3,1457539475000
2026-08-23T22:47:02.644563+00:00,tETHUSD,2460.4,2460.7,40.7,0.01682027,2460.4,54153.15834473,2485.4,2355.3,1457539475000
2026-08-23T23:47:02.932647+00:00,tETHUSD,2457.4,2457.9,29.5,0.01214892,2457.7,52657.93865774,2485.4,2355.3,1457539475000
