collected_at,market,candle_key,mts,open,close,high,low,volume
2026-08-26T00:47:03.691572+00:00,fUST,trade:1h:a30:p2:p30,1787702400000,0.00012329,0.00014139,0.00014139,0.00012329,1551044.77137992
2026-08-26T01:47:03.960721+00:00,fUST,trade:1h:a30:p2:p30,1787706000000,0.00013505,0.000125,0.000144,0.0001101,560865.38269131
2026-08-26T02:47:03.374927+00:00,fUST,trade:1h:a30:p2:p30,1787709600000,0.0001101,0.000125,0.00013939,7.6e-05,68380.61251894
2026-08-26T03:47:03.997189+00:00,fUST,trade:1h:a30:p2:p30,1787713200000,0.00011262,0.00014145,0.0001644,7.6e-05,2789012.61688443
2026-08-26T04:47:03.510925+00:00,fUST,trade:1h:a30:p2:p30,1787716800000,0.00011607,0.0001,0.00013976,7.6e-05,60711.05679751
2026-08-26T05:47:03.715160+00:00,fUST,trade:1h:a30:p2:p30,1787720400000,0.00012504,0.000125,0.00013976,0.000125,88679.30646143
2026-08-26T06:47:03.688107+00:00,fUST,trade:1h:a30:p2:p30,1787724000000,0.00013449,0.000141,0.000141,0.000125,158629.07947488
2026-08-26T07:47:03.758597+00:00,fUST,trade:1h:a30:p2:p30,1787727600000,0.00013562,0.000125,0.0001401,0.000125,84539.88710569999
2026-08-26T08:47:04.049633+00:00,fUST,trade:1h:a30:p2:p30,1787731200000,0.00013671,0.000142,0.00014569,0.00012962,69418.17975764
2026-08-26T09:47:04.166377+00:00,fUST,trade:1h:a30:p2:p30,1787734800000,0.00013296,0.00014,0.00017777,5e-06,2135356.10692498
2026-08-26T10:47:04.860883+00:00,fUST,trade:1h:a30:p2:p30,1787738400000,0.00012701,0.00013365,0.00014687,0.0001,198564.14251554
2026-08-26T11:47:04.047269+00:00,fUST,trade:1h:a30:p2:p30,1787742000000,0.0001,0.00015051,0.00015051,7.6e-05,1001355.7689153
2026-08-26T12:47:04.135153+00:00,fUST,trade:1h:a30:p2:p30,1787745600000,0.00012138,0.00010767,0.00017777,7.6e-05,1679245.91141283
2026-08-26T13:47:03.844671+00:00,fUST,trade:1h:a30:p2:p30,1787749200000,0.0001222,0.0001101,0.00016666,0.00010893,912941.07689316
2026-08-26T14:47:04.126850+00:00,fUST,trade:1h:a30:p2:p30,1787752800000,0.00012447,0.00011017,0.00015367,7.6e-05,678189.06686594
2026-08-26T15:47:03.884135+00:00,fUST,trade:1h:a30:p2:p30,1787756400000,0.0001101,0.00010753,0.0002,7.6e-05,4967067.75422428
2026-08-26T16:47:03.907817+00:00,fUST,trade:1h:a30:p2:p30,1787760000000,0.00011723,0.0001,0.00017255,7.6e-05,812004.03115833
2026-08-26T17:47:03.456465+00:00,fUST,trade:1h:a30:p2:p30,1787763600000,0.00014623,0.00015946,0.00017126,7.6e-05,723512.4577348001
2026-08-26T18:47:03.619704+00:00,fUST,trade:1h:a30:p2:p30,1787767200000,0.00013233,0.00017494,0.00021,7.6e-05,1950962.3150293
2026-08-26T19:47:04.166315+00:00,fUST,trade:1h:a30:p2:p30,1787770800000,0.00014192,0.00017776,0.00017776,0.0001377,59128.25623562
2026-08-26T20:47:04.815476+00:00,fUST,trade:1h:a30:p2:p30,1787774400000,0.0001101,0.0001,0.00017776,0.0001,191364.92686035
2026-08-26T21:47:04.292100+00:00,fUST,trade:1h:a30:p2:p30,1787778000000,0.00015523,0.000155,0.00017722,7.6e-05,35560.93409139
2026-08-26T22:47:03.929099+00:00,fUST,trade:1h:a30:p2:p30,1787781600000,0.00013027,0.00016715,0.00016715,0.0001,540458.5874597
2026-08-26T23:47:04.408312+00:00,fUST,trade:1h:a30:p2:p30,1787785200000,0.00013018,0.00017122,0.00017474,7.6e-05,90388.44640399
