collected_at,market,candle_key,mts,open,close,high,low,volume
2026-08-29T00:47:03.505839+00:00,fBTC,trade:1h:a30:p2:p30,1787961600000,2e-08,3e-08,3e-08,2e-08,0.04378974
2026-08-29T01:47:03.077804+00:00,fBTC,trade:1h:a30:p2:p30,1787965200000,2e-08,3e-08,3e-08,2e-08,0.06567399
2026-08-29T02:47:03.086790+00:00,fBTC,trade:1h:a30:p2:p30,1787968800000,3e-08,3e-08,3e-08,3e-08,0.00408978
2026-08-29T03:47:03.183664+00:00,fBTC,trade:1h:a30:p2:p30,1787972400000,2e-08,1e-08,3e-08,1e-08,0.6863272300000001
2026-08-29T04:47:03.356333+00:00,fBTC,trade:1h:a30:p2:p30,1787976000000,3e-08,2e-08,3e-08,2e-08,9.76982099
2026-08-29T05:47:03.556854+00:00,fBTC,trade:1h:a30:p2:p30,1787979600000,1e-08,2e-08,2e-08,1e-08,0.09750783
2026-08-29T06:47:03.530111+00:00,fBTC,trade:1h:a30:p2:p30,1787983200000,2e-08,3e-08,3e-08,2e-08,5.72085976
2026-08-29T07:47:03.669622+00:00,fBTC,trade:1h:a30:p2:p30,1787986800000,2e-08,3e-08,3e-08,2e-08,4.98201133
2026-08-29T08:47:03.108025+00:00,fBTC,trade:1h:a30:p2:p30,1787990400000,2e-08,3e-08,3e-08,2e-08,0.90443961
2026-08-29T09:47:03.984104+00:00,fBTC,trade:1h:a30:p2:p30,1787994000000,2e-08,3e-08,3e-08,2e-08,4.50568236
2026-08-29T10:47:03.319362+00:00,fBTC,trade:1h:a30:p2:p30,1787997600000,2e-08,3e-08,3e-08,1e-08,0.42737453999999997
2026-08-29T11:47:03.652364+00:00,fBTC,trade:1h:a30:p2:p30,1788001200000,2e-08,3e-08,3e-08,2e-08,7.6219135
2026-08-29T12:47:03.143322+00:00,fBTC,trade:1h:a30:p2:p30,1788004800000,2e-08,2e-08,2e-08,2e-08,0.3167001
2026-08-29T13:47:03.914502+00:00,fBTC,trade:1h:a30:p2:p30,1788008400000,3e-08,3e-08,3e-08,3e-08,0.48582895000000004
2026-08-29T14:47:04.351170+00:00,fBTC,trade:1h:a30:p2:p30,1788012000000,3e-08,3e-08,3e-08,3e-08,1.05677751
2026-08-29T15:47:03.987191+00:00,fBTC,trade:1h:a30:p2:p30,1788015600000,2e-08,2e-08,3e-08,1e-08,2.18204385
2026-08-29T16:47:03.398612+00:00,fBTC,trade:1h:a30:p2:p30,1788019200000,3e-08,3e-08,3e-08,2e-08,0.17239301
2026-08-29T17:47:03.498031+00:00,fBTC,trade:1h:a30:p2:p30,1788022800000,3e-08,3e-08,3e-08,1e-08,5.88241455
2026-08-29T18:47:04.040291+00:00,fBTC,trade:1h:a30:p2:p30,1788026400000,3e-08,3e-08,3e-08,2e-08,10.74650011
2026-08-29T19:47:03.684585+00:00,fBTC,trade:1h:a30:p2:p30,1788030000000,3e-08,2e-08,3e-08,1e-08,1.24761085
2026-08-29T20:47:03.552760+00:00,fBTC,trade:1h:a30:p2:p30,1788033600000,3e-08,3e-08,3e-08,1e-08,102.59934548
2026-08-29T21:47:03.433780+00:00,fBTC,trade:1h:a30:p2:p30,1788037200000,3e-08,3e-08,3e-08,1e-08,0.11746639
2026-08-29T22:47:03.504168+00:00,fBTC,trade:1h:a30:p2:p30,1788040800000,2e-08,3e-08,3e-08,2e-08,0.2609674
2026-08-29T23:47:03.338370+00:00,fBTC,trade:1h:a30:p2:p30,1788044400000,2e-08,3e-08,3e-08,2e-08,3.23870582
