run_at,market,model_name,train_rows,valid_rows,train_start,train_end,valid_start,valid_end,mae,rmse,r2
2026-08-08T19:08:54.711845+00:00,fBTC,baseline_mean,170,43,2026-07-21T14:30:50.998308+00:00,2026-08-05T16:51:23.169984+00:00,2026-08-05T18:47:44.039515+00:00,2026-08-08T17:44:54.258456+00:00,5.808104525875889e-09,5.811354423092929e-09,-893.3328723922792
2026-08-08T19:08:54.711845+00:00,fBTC,baseline_previous,170,43,2026-07-21T14:30:50.998308+00:00,2026-08-05T16:51:23.169984+00:00,2026-08-05T18:47:44.039515+00:00,2026-08-08T17:44:54.258456+00:00,1.776650894356412e-10,2.2617856002766432e-10,-0.3547131226064366
2026-08-08T19:08:54.711845+00:00,fBTC,linear_regression,170,43,2026-07-21T14:30:50.998308+00:00,2026-08-05T16:51:23.169984+00:00,2026-08-05T18:47:44.039515+00:00,2026-08-08T17:44:54.258456+00:00,6.194384197162909e-09,6.259704577148661e-09,-1036.6529927005076
2026-08-08T19:08:54.711845+00:00,fETH,baseline_mean,170,43,2026-07-21T14:30:51.146084+00:00,2026-08-05T16:51:23.665874+00:00,2026-08-05T18:47:44.531474+00:00,2026-08-08T17:44:54.830699+00:00,4.530673814115696e-06,4.5566464101701004e-06,-86.97098709239319
2026-08-08T19:08:54.711845+00:00,fETH,baseline_previous,170,43,2026-07-21T14:30:51.146084+00:00,2026-08-05T16:51:23.665874+00:00,2026-08-05T18:47:44.531474+00:00,2026-08-08T17:44:54.830699+00:00,2.0236761419358375e-07,5.568545954462849e-07,-0.3138095751629315
2026-08-08T19:08:54.711845+00:00,fETH,linear_regression,170,43,2026-07-21T14:30:51.146084+00:00,2026-08-05T16:51:23.665874+00:00,2026-08-05T18:47:44.531474+00:00,2026-08-08T17:44:54.830699+00:00,3.1395327369692695e-06,3.187177518965338e-06,-42.03891491656097
2026-08-08T19:08:54.711845+00:00,fUSD,baseline_mean,170,43,2026-07-21T14:30:50.828097+00:00,2026-08-05T16:51:22.577316+00:00,2026-08-05T18:47:43.468728+00:00,2026-08-08T17:44:53.878239+00:00,1.2057454422386476e-05,1.4061833569530092e-05,-2.022421946460271
2026-08-08T19:08:54.711845+00:00,fUSD,baseline_previous,170,43,2026-07-21T14:30:50.828097+00:00,2026-08-05T16:51:22.577316+00:00,2026-08-05T18:47:43.468728+00:00,2026-08-08T17:44:53.878239+00:00,3.1147683707810097e-06,7.573790196124566e-06,0.12320567949642025
2026-08-08T19:08:54.711845+00:00,fUSD,linear_regression,170,43,2026-07-21T14:30:50.828097+00:00,2026-08-05T16:51:22.577316+00:00,2026-08-05T18:47:43.468728+00:00,2026-08-08T17:44:53.878239+00:00,2.0619692927677575e-05,2.188258995320249e-05,-6.319284558253879
