collected_at,market,mts,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,payload_json
2026-09-08T00:47:03.767192+00:00,fBTC,1788825900000,0,46.95,1176.4940567,1175.90007358,2161.16611796,"[1788825900000, null, null, 0, 46.95, null, null, 1176.4940567, 1175.90007358, null, null, 2161.16611796, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T01:47:03.896961+00:00,fBTC,1788829500000,0,47.05,1176.40150506,1175.80752194,2144.04587218,"[1788829500000, null, null, 0, 47.05, null, null, 1176.40150506, 1175.80752194, null, null, 2144.04587218, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T02:47:03.926442+00:00,fBTC,1788833100000,0,47.08,1173.00231312,1172.40833,2167.25378299,"[1788833100000, null, null, 0, 47.08, null, null, 1173.00231312, 1172.40833, null, null, 2167.25378299, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T03:47:03.732156+00:00,fBTC,1788836700000,0,47.08,1172.90788996,1172.31390684,2135.2829194,"[1788836700000, null, null, 0, 47.08, null, null, 1172.90788996, 1172.31390684, null, null, 2135.2829194, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T04:47:03.503228+00:00,fBTC,1788840300000,0,47.89,1169.67613901,1169.08215589,2170.77231502,"[1788840300000, null, null, 0, 47.89, null, null, 1169.67613901, 1169.08215589, null, null, 2170.77231502, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T05:47:04.086461+00:00,fBTC,1788843900000,0,48.16,1149.53823403,1148.94425091,2163.64376151,"[1788843900000, null, null, 0, 48.16, null, null, 1149.53823403, 1148.94425091, null, null, 2163.64376151, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T06:47:03.911833+00:00,fBTC,1788847500000,0,47.83,1184.26821534,1183.67423222,2138.23870034,"[1788847500000, null, null, 0, 47.83, null, null, 1184.26821534, 1183.67423222, null, null, 2138.23870034, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T07:47:03.677834+00:00,fBTC,1788851100000,0,47.81,1184.05878876,1183.45780564,2104.43837481,"[1788851100000, null, null, 0, 47.81, null, null, 1184.05878876, 1183.45780564, null, null, 2104.43837481, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T08:47:03.978476+00:00,fBTC,1788854700000,0,47.68,1129.19950179,1128.59851867,2200.78268409,"[1788854700000, null, null, 0, 47.68, null, null, 1129.19950179, 1128.59851867, null, null, 2200.78268409, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-08T09:47:03.818758+00:00,fBTC,1788858300000,0,47.63,1123.78460672,1123.1836236,2189.39141618,"[1788858300000, null, null, 0, 47.63, null, null, 1123.78460672, 1123.1836236, null, null, 2189.39141618, null, null, null, null, null, null, null, null, null, null, null, null]"
