collected_at,market,frr,bid,bid_period,bid_size,ask,ask_period,ask_size,daily_change,daily_change_perc,last_price,volume,high,low,first_trade,frr_amount_available
2026-08-27T00:47:03.831695+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.71794096e-08,2,1124.97818167,0,0,1e-08,100.2722437,3e-08,1e-08,1469734183000,897.40465671
2026-08-27T01:47:04.166183+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.5e-08,2,1019.82960245,-1e-08,-0.0001,1e-08,100.10890728,3e-08,1e-08,1469734183000,896.95458912
2026-08-27T02:47:04.615763+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,1024.48156211,0,0,3e-08,100.17784849,3e-08,1e-08,1469734183000,896.88849629
2026-08-27T03:47:04.778416+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.728362e-08,2,1129.2915901,0,0,3e-08,98.32996805,3e-08,1e-08,1469734183000,896.88849629
2026-08-27T04:47:03.973026+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,1119.00419168,1e-08,0.0001,3e-08,98.66768297,3e-08,1e-08,1469734183000,896.88849629
2026-08-27T05:47:04.354735+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,1026.97117282,-1e-08,-0.0001,2e-08,85.68749492,3e-08,1e-08,1469734183000,896.88849629
2026-08-27T06:47:03.931733+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.71794096e-08,2,1020.26979128,0,0,3e-08,85.65117257,3e-08,1e-08,1469734183000,896.88849629
2026-08-27T07:47:04.305217+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.728362e-08,2,1138.80581174,0,0,3e-08,95.04844121,3e-08,1e-08,1469734183000,895.07630233
2026-08-27T08:47:03.985799+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,1053.61214198,0,0,3e-08,165.0771626,3e-08,1e-08,1469734183000,820.21639089
2026-08-27T09:47:04.422641+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,953.87493744,0,0,3e-08,169.75631668,3e-08,1e-08,1469734183000,820.0334917
2026-08-27T10:47:04.104585+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,961.45143061,0,0,3e-08,162.56676487,3e-08,1e-08,1469734183000,820.15515055
2026-08-27T11:47:04.245796+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.68972704e-08,2,948.07952678,-1e-08,-0.0001,2e-08,168.77850405,3e-08,1e-08,1469734183000,819.77023866
2026-08-27T12:47:04.584837+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.69913168e-08,2,945.3423328,0,0,3e-08,156.33767057,3e-08,1e-08,1469734183000,820.31145699
2026-08-27T13:47:04.657996+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.67091776e-08,2,949.33488805,1e-08,0.0001,3e-08,146.94457925,3e-08,1e-08,1469734183000,820.31145699
2026-08-27T14:47:04.164639+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,955.36024652,1e-08,0.0001,3e-08,145.50517798,3e-08,1e-08,1469734183000,820.31146704
2026-08-27T15:47:03.398546+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.6803224e-08,2,952.2560892,0,0,3e-08,149.69110847,3e-08,1e-08,1469734183000,820.31146704
2026-08-27T16:47:04.333155+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.67e-08,2,942.05642755,0,0,3e-08,137.09616757,3e-08,1e-08,1469734183000,820.31386267
2026-08-27T17:47:04.616580+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.5e-08,2,840.10252514,0,0,3e-08,136.45180992,3e-08,1e-08,1469734183000,820.31386267
2026-08-27T18:47:04.602193+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.64270384e-08,2,838.31340785,2e-08,0.0002,3e-08,136.98644044,3e-08,1e-08,1469734183000,820.31386267
2026-08-27T19:47:04.277527+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,837.221117,1e-08,0.0001,3e-08,133.11439872,3e-08,1e-08,1469734183000,820.31386267
2026-08-27T20:47:04.211403+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2.62389456e-08,2,838.60708141,0,0,3e-08,135.72862092,3e-08,1e-08,1469734183000,820.31386267
2026-08-27T21:47:04.055176+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,833.09380601,0,0,3e-08,135.96394141,3e-08,1e-08,1469734183000,820.31386267
2026-08-27T22:47:03.989897+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,831.63040789,0,0,3e-08,136.99930303,3e-08,1e-08,1469734183000,819.77264434
2026-08-27T23:47:04.392361+00:00,fBTC,2.7397260273972602e-08,1.2e-08,59,0.7976823,2e-08,2,831.28571368,0,0,3e-08,135.71297134,3e-08,1e-08,1469734183000,820.54321253
